Full Name,Email,Age,Zip,Phone,Gender,City,State,Password,Street,Major,Courses 1,Course 1 Name,Course 1 Details,Course 1 Type,Course 1 Section,Course 1 Section Limit,Course 1 HW_No,Course 1 HW_Details,Course 1 HW_Grade,Course 1 EXAM_No,Course 1 Exam_Details,Course 1 EXAM_Grade,Courses 2,Course 2 Name,Course 2 Details,Course 2 Type,Course 2 Section,Course 2 Section Limit,Course 2 HW_No,Course 2 HW_Details,Course 2 HW_Grade,Course 2 EXAM_No,Course 2 Exam_Details,Course 2 EXAM_Grade,Courses 3,Course 3 Name,Course 3 Details,Course 3 Type,Course 3 Section,Course 3 Section Limit,Course 3 HW_No,Course 3 HW_Details,Course 3 HW_Grade,Course 3 EXAM_No,Course 3 Exam_Details,Course 3 EXAM_Grade
Justus Prosacco,jpr1678@lionstate.edu,22,81410,2815185909,F,Austin,Colorado,jtpv3g6o,336 Myrtle Street ,CSE,ECON101,Principles of Economics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,90.0,EE311,Devices and Circuits I,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,69.0,1.0,Closed book exam for 100 marks,85.0,MATH140,Calculus with Analytic Geometry,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,61.0,1.0,Closed book exam for 100 marks,73.0
Madeline Smith,msm4734@lionstate.edu,20,62355,2593257711,M,Nebo,Illinois,2ki3shs0,655 East Branch Dr. ,IST,STAT318,Elementary Probability,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,99.0,1.0,Closed book exam for 100 marks,86.0,CHEM112,Chemical Principles,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,60.0,CMPEN431,Introduction to Computer Architecture,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,61.0,1.0,Closed book exam for 100 marks,63.0
Sallie McDermott,smc5761@lionstate.edu,18,72014,6376525823,M,Beedeville,Arkansas,5cjv882q,9659 Rosewood Drive ,CHEM,CMPEN270,Embedded Systems Design,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,100.0,STAT318,Elementary Probability,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,99.0,1.0,Closed book exam for 100 marks,72.0,CMPEN441,Operating Systems,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,77.0
Mireya Pouros,mpo6230@lionstate.edu,22,60450,6896702170,M,Morris,Illinois,7f94l7s0,608 North Addison St. ,IST,CMPSC311,Introduction to Systems Programming,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,71.0,1.0,Closed book exam for 100 marks,98.0,CMPEN270,Embedded Systems Design,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,66.0,PHYS212,Solid State Physics,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,87.0
Mrs. Daryl Beier,mda7325@lionstate.edu,21,61484,5501326697,M,Vermont,Illinois,b72x34cx,495 Jockey Hollow Ave. ,STAT,CMPEN411,VLSI Digital Circuits,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,75.0,1.0,Closed book exam for 100 marks,86.0,MATH140,Calculus with Analytic Geometry,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,71.0,CSE543,Computer Security,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,83.0,1.0,Closed book exam for 100 marks,66.0
Marisol Crona,mcr8647@lionstate.edu,18,31216,5804212840,F,Macon,Georgia,o7rl1udy,7195 North Canterbury Circle ,CHEM,STAT319,Applied Statistics in Science,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,61.0,1.0,Closed book exam for 100 marks,86.0,DS120,Python for data science,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,68.0,EE352,Design of Digital Circuits and Systems,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,98.0,1.0,Closed book exam for 100 marks,90.0
Wava Anderson IV,wan5226@lionstate.edu,18,47725,4279029711,M,Evansville,Indiana,h7waj302,141 Gulf Rd. ,DS,CMPEN351,Microprocessors,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,67.0,CMPEN270,Embedded Systems Design,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,83.0,1.0,Closed book exam for 100 marks,69.0,EE212,Introduction to Signal Conditioning ,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,81.0,1.0,Closed book exam for 100 marks,60.0
Miss Paul Hills,mpa1579@lionstate.edu,22,52208,2957321218,M,Belle Plaine,Iowa,pxfwcqxb,26 Johnson St. ,MATH,CMPSC360,Discrete Mathematics for CMPSC,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,85.0,CMPEN431,Introduction to Computer Architecture,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,60.0,MATH231,Vector Calculus,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,99.0
Velma Lebsack,vle9800@lionstate.edu,21,50067,7759585308,M,Decatur,Iowa,rof5jch8,9498 Newport Ave. ,CHEM,CMPSC497,Introduction to Data Mining,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,,,,CMPSC448,Machine Learning and Algorithmic AI,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,66.0,EE211,Circuit Theory,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,64.0
Mrs. Deja Mosciski,mde4739@lionstate.edu,21,61028,5439138492,F,Elizabeth,Illinois,bkiff3gh,336 Myrtle Street ,CMPSC,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,81.0,CMPSC497,Introduction to Data Mining,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,91.0,,,,PHYS214,General Physics: Wave Motion and Quantum Physics,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,65.0,1.0,Closed book exam for 100 marks,87.0
Rosie Huel,rhu1999@lionstate.edu,22,62690,2172468219,M,Virden,Illinois,08ddd6ps,608 North Addison St. ,EE,EE211,Circuit Theory,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,76.0,1.0,Closed book exam for 100 marks,63.0,CHEM111,Experimental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,95.0,1.0,Closed book exam for 100 marks,63.0,CMPSC360,Discrete Mathematics for CMPSC,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,100.0,1.0,Closed book exam for 100 marks,60.0
Marcelina Collins,mco7612@lionstate.edu,19,32578,8838874047,M,Niceville,Florida,gvftq3ee,9236 El Dorado St. ,DS,CHEM112,Chemical Principles,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,77.0,1.0,Closed book exam for 100 marks,63.0,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,87.0,1.0,Closed book exam for 100 marks,67.0,CMPSC311,Introduction to Systems Programming,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,67.0
Joel Hammes,jha8710@lionstate.edu,18,31523,9171947908,M,Brunswick,Georgia,ra3xf3g2,863 Stillwater Road ,IST,EE212,Introduction to Signal Conditioning ,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,90.0,CSE583,Pattern Recognition,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,71.0,PHYS214,General Physics: Wave Motion and Quantum Physics,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,91.0,1.0,Closed book exam for 100 marks,79.0
Ismael Von,ivo1134@lionstate.edu,19,47167,2034336028,F,Salem,Indiana,aa8obunx,798 North Euclid Drive ,IST,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,71.0,1.0,Closed book exam for 100 marks,83.0,CSE583,Pattern Recognition,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,65.0,1.0,Closed book exam for 100 marks,75.0,CMPSC465,Data structures and algorithms,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,1.0,Closed book exam for 100 marks,62.0
Ivory Reichert,ire9271@lionstate.edu,19,32805,9826981428,M,Orlando,Florida,7m9wcg8w,7 Arch Court ,DS,PHYS211,Thermal Physics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,69.0,1.0,Closed book exam for 100 marks,63.0,EE311,Devices and Circuits I,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,1.0,Closed book exam for 100 marks,98.0,ECON201,Intermediate Microeconomic Analysis,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,63.0,1.0,Closed book exam for 100 marks,97.0
Mae Rolfson,mro8475@lionstate.edu,18,93033,2101365056,F,Oxnard,California,otcje7py,655 East Branch Dr. ,STAT,CHEM110,Environmental Chemistry,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,78.0,CMPEN441,Operating Systems,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,64.0,ECON102,Introductory Microeconomic Analysis and Policy,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,100.0
Rowland Roob V,rro5798@lionstate.edu,21,61863,6689086160,F,Pesotum,Illinois,wgtnbh1o,259 Cleveland Road ,CHEM,CMPSC448,Machine Learning and Algorithmic AI,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,94.0,1.0,Closed book exam for 100 marks,86.0,MATH140,Calculus with Analytic Geometry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,76.0,1.0,Closed book exam for 100 marks,90.0,CMPEN431,Introduction to Computer Architecture,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,97.0
Rigoberto Huel,rhu3482@lionstate.edu,19,31774,7942899295,M,Ocilla,Georgia,ungqga6k,8985 Cambridge Ave. ,CSE,EE353,Applied Electromagnetics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,61.0,1.0,Closed book exam for 100 marks,94.0,CSE583,Pattern Recognition,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,92.0,1.0,Closed book exam for 100 marks,97.0,CMPEN454,Fundamentals of Computer Vision,Regular 3 credit course offered only on campus,Cap,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,,,
Mr. Jasen Stracke,mja6117@lionstate.edu,18,50171,8276695627,F,Montezuma,Iowa,ehf2dmzk,18 Lakeview Street ,MATH,DS120,Python for data science,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,79.0,CHEM111,Experimental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,81.0,1.0,Closed book exam for 100 marks,92.0,CHEM110,Environmental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,70.0,1.0,Closed book exam for 100 marks,76.0
Ms. Maci Schamberger,mma4302@lionstate.edu,21,66515,9522318992,M,Morrill,Kansas,5yczj6oj,7313 Stillwater Lane ,IST,ECON201,Intermediate Microeconomic Analysis,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,100.0,1.0,Closed book exam for 100 marks,97.0,STAT319,Applied Statistics in Science,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,75.0,1.0,Closed book exam for 100 marks,95.0,CMPEN441,Operating Systems,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,94.0,1.0,Closed book exam for 100 marks,92.0
Mrs. Amparo Bahringer,mam2014@lionstate.edu,22,80116,2145286759,M,Franktown,Colorado,99wxwmdm,7313 Stillwater Lane ,MATH,CMPEN331,Computer Organization And Design,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,75.0,CMPSC132,Programming and Computation II,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,63.0,1.0,Closed book exam for 100 marks,93.0,ECON101,Principles of Economics,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,63.0
Jarret Mante,jma7277@lionstate.edu,22,46745,7554961530,F,Hoagland,Indiana,jolwy2s0,4 Old Academy Drive ,ECON,EE340,Design in Communications,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,65.0,,,,CHEM111,Experimental Chemistry,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,90.0,1.0,Closed book exam for 100 marks,65.0,ECON102,Introductory Microeconomic Analysis and Policy,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,98.0,1.0,Closed book exam for 100 marks,60.0
Monica Zieme,mzi4705@lionstate.edu,19,33167,5595203401,F,Miami,Florida,ct9v66xc,9408 Anderson Court ,DS,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,98.0,1.0,Closed book exam for 100 marks,78.0,CMPSC448,Machine Learning and Algorithmic AI,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,73.0,1.0,Closed book exam for 100 marks,77.0,STAT318,Elementary Probability,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,84.0
Kevon McDermott,kmc2382@lionstate.edu,21,61239,5055917243,M,Carbon Cliff,Illinois,ggt4hfj9,7297 Applegate St. ,ECON,CHEM110,Environmental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,95.0,CMPSC431W,DBMS,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,93.0,1.0,Closed book exam for 100 marks,89.0,EE212,Introduction to Signal Conditioning ,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,90.0
Ophelia Murphy,omu5991@lionstate.edu,19,32087,7419386430,F,Sanderson,Florida,30cb43o7,232 W. Homewood Ave. ,STAT,CMPSC221,OOP with Web Design,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,71.0,1.0,Closed book exam for 100 marks,86.0,ECON102,Introductory Microeconomic Analysis and Policy,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,74.0,EE352,Design of Digital Circuits and Systems,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,66.0
Jeanne Marquardt,jma1975@lionstate.edu,18,50613,1271712657,M,Cedar Falls,Iowa,3hbwxyko,232 W. Homewood Ave. ,EE,MATH230,Ordinary and Partial Differential Equations,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,83.0,1.0,Closed book exam for 100 marks,83.0,CMPSC132,Programming and Computation II,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,97.0,1.0,Closed book exam for 100 marks,85.0,ECON102,Introductory Microeconomic Analysis and Policy,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,71.0,1.0,Closed book exam for 100 marks,73.0
Jarrett Kessler,jke6352@lionstate.edu,20,33016,7659200618,M,Hialeah,Florida,q0ssowih,119 Harvey Street ,CMPEN,CMPEN431,Introduction to Computer Architecture,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,92.0,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,91.0,1.0,Closed book exam for 100 marks,70.0,CMPEN270,Embedded Systems Design,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,67.0
Rafaela Legros,rle2901@lionstate.edu,21,72856,1146304300,M,Pelsor,Arkansas,k0t192jm,232 W. Homewood Ave. ,MATH,CMPEN362,Communication Networks,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,63.0,CMPEN351,Microprocessors,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,81.0,ECON201,Intermediate Microeconomic Analysis,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,87.0
Madelynn Grimes,mgr5494@lionstate.edu,19,33704,5396276774,M,Saint Petersburg,Florida,dwq6vie7,7 Arch Court ,PHYS,IST128,Introduction to Python,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,83.0,1.0,Closed book exam for 100 marks,72.0,CHEM111,Experimental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,83.0,1.0,Closed book exam for 100 marks,63.0,ECON102,Introductory Microeconomic Analysis and Policy,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,63.0
Leonel Beahan V,lbe3921@lionstate.edu,20,80231,5641424241,F,Denver,Colorado,1ac5j9hy,7764 Union Avenue ,PHYS,DS120,Python for data science,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,60.0,CSE543,Computer Security,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,100.0,CMPSC311,Introduction to Systems Programming,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,75.0,1.0,Closed book exam for 100 marks,98.0
Price Parker,ppa6961@lionstate.edu,21,94041,7852021734,F,Mountain View,California,9hg8nilg,285 Dogwood Drive ,DS,PHYS211,Thermal Physics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,88.0,1.0,Closed book exam for 100 marks,63.0,CMPSC475,Applications Programming,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,66.0,1.0,Closed book exam for 100 marks,61.0,EE340,Design in Communications,Regular 3 credit course offered only on campus,Cap,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,64.0,,,
Stephen Ward,swa7358@lionstate.edu,19,96035,4571077199,M,Gerber,California,0v91h6mw,308 Mammoth Dr. ,DS,CSE583,Pattern Recognition,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,69.0,STAT415,Introduction to Mathematical Statistics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,65.0,STAT319,Applied Statistics in Science,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,65.0
Leon Morissette,lmo1800@lionstate.edu,21,61275,8503543829,F,Port Byron,Illinois,zrzby18o,8401 Green Rd. ,STAT,DS220,Data Modelling,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,82.0,1.0,Closed book exam for 100 marks,70.0,CSE543,Computer Security,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,86.0,MATH230,Ordinary and Partial Differential Equations,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,75.0,1.0,Closed book exam for 100 marks,60.0
Mackenzie Halvorson,mha4751@lionstate.edu,18,93060,9213972101,F,Santa Paula,California,gysd8ywq,18 Lakeview Street ,PHYS,EE211,Circuit Theory,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,1.0,Closed book exam for 100 marks,89.0,CMPSC475,Applications Programming,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,62.0,1.0,Closed book exam for 100 marks,84.0,PHYS213,General Physics: Electricity and Magnetism,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,81.0
Kara Wiegand I,kwi7687@lionstate.edu,21,83846,1872302192,M,Mullan,Idaho,9sr4krcq,232 W. Homewood Ave. ,ECON,CMPSC311,Introduction to Systems Programming,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,75.0,CMPEN454,Fundamentals of Computer Vision,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,100.0,,,,EE330,Energy Systems,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,91.0,1.0,Closed book exam for 100 marks,84.0
Pascale Abbott,pab5129@lionstate.edu,21,60712,4855336848,M,Lincolnwood,Illinois,y8692wws,251 West Sheffield Drive ,CHEM,IST558,Data Mining 2,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,98.0,,,,CHEM110,Environmental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,68.0,1.0,Closed book exam for 100 marks,64.0,ECON101,Principles of Economics,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,61.0,1.0,Closed book exam for 100 marks,76.0
Scot Will Jr.,swi5077@lionstate.edu,20,61037,3096045240,M,Galt,Illinois,pwnt950j,259 Cleveland Road ,EE,EE211,Circuit Theory,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,65.0,1.0,Closed book exam for 100 marks,82.0,CMPEN331,Computer Organization And Design,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,65.0,1.0,Closed book exam for 100 marks,74.0,EE352,Design of Digital Circuits and Systems,Regular 3 credit course offered only on campus,Reg,2.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,87.0,1.0,Closed book exam for 100 marks,95.0
Rashad Larson,rla2797@lionstate.edu,19,66711,7147344387,M,Arcadia,Kansas,ibm2bo3e,7 Arch Court ,EE,IST110,"Introduction to Information, People And Technology",Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,72.0,1.0,Closed book exam for 100 marks,63.0,CMPSC132,Programming and Computation II,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,1.0,Closed book exam for 100 marks,64.0,CMPEN331,Computer Organization And Design,Regular 3 credit course offered only on campus,Reg,1.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,95.0,1.0,Closed book exam for 100 marks,86.0
